Date;Time;Vlna;Vlnb;Vlnc;Vllavg;;kWa;;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;07;2018;20:20:00.000;7908.971680;7960.772949;8043.842773;13806.054688;2004.485596;1680.697754;2031.176025;562.534790;362.114807;562.864746;264.013123;216.568771;262.832794;5716.359375
01;07;2018;20:30:00.000;7922.968262;7972.668457;8056.264648;13828.178711;1975.522217;1659.447754;2029.138428;549.305237;357.056702;568.442200;259.572510;213.508270;262.348175;5664.108398
01;07;2018;20:40:00.000;7929.539063;7975.028809;8061.479004;13836.365234;1943.358398;1648.174316;2004.073120;537.152161;360.931610;564.025757;255.026260;212.132614;259.022156;5595.605957
01;07;2018;20:50:00.000;7946.802246;7996.924316;8076.419434;13867.614258;1917.963257;1644.706299;2007.059082;541.168213;364.604675;570.905029;251.540512;211.227249;259.114349;5569.728516
01;07;2018;21:00:00.000;7949.143066;8001.635742;8081.559570;13874.656250;1929.452881;1629.007446;1983.184204;547.324524;371.164856;564.290039;253.039825;209.352386;255.888321;5541.644531
01;07;2018;21:10:00.000;7957.103516;8006.223633;8085.883301;13884.405273;1889.137085;1611.434814;1986.488525;531.196106;367.861298;564.815247;247.351883;206.998825;256.129333;5487.060547
01;07;2018;21:20:00.000;7962.372559;8013.861328;8093.666992;13896.362305;1912.794434;1614.194092;1978.908081;558.421204;369.024231;566.340149;250.938629;207.150970;255.024551;5505.896484
01;07;2018;21:30:00.000;7964.293457;8016.830566;8098.357910;13901.893555;1899.283203;1583.967773;1966.360474;557.094177;364.662262;553.075439;249.210892;203.274002;252.942474;5449.611328
01;07;2018;21:40:00.000;7966.139648;8013.614746;8093.375488;13898.244141;1868.843506;1591.480591;1947.449219;550.720947;376.066254;570.411255;245.275330;204.573257;251.419739;5407.773438
01;07;2018;21:50:00.000;7969.574219;8020.215820;8100.443359;13908.117188;1862.222778;1568.291016;1929.432495;553.559387;375.331818;562.640564;244.453613;201.577606;248.811172;5359.946289
01;07;2018;22:00:00.000;7987.203613;8037.690918;8120.068848;13939.718750;1842.173340;1563.376099;1929.332764;555.429504;365.961761;564.789490;241.584549;200.273529;248.268814;5334.882324
01;07;2018;22:10:00.000;7991.852539;8040.687988;8123.710449;13946.249023;1852.570190;1576.420288;1907.301758;541.372498;364.652588;543.834961;242.181671;201.731720;244.840256;5336.292480
01;07;2018;22:20:00.000;7985.102051;8031.299316;8114.203613;13931.441406;1848.854492;1568.646240;1895.957397;547.451660;367.674347;550.978027;242.146454;201.097519;244.029816;5313.458496
01;07;2018;22:30:00.000;8024.388672;8075.225098;8156.524902;14003.915039;1846.822998;1566.692017;1901.697876;572.651367;373.450226;568.900330;241.643082;199.934891;244.073318;5315.212891
01;07;2018;22:40:00.000;8024.645996;8077.007813;8159.542969;14006.841797;1840.582031;1553.335327;1880.494873;564.143982;369.457520;553.831238;240.589172;198.165955;240.986420;5274.412109
01;07;2018;22:50:00.000;8034.714844;8084.956055;8166.233887;14021.110352;1847.302490;1562.213623;1898.029053;570.357727;372.708893;556.384888;241.315643;199.124023;242.930405;5307.545410
01;07;2018;23:00:00.000;8043.065430;8093.238281;8166.710449;14030.988281;1844.077637;1574.751953;1911.166382;579.895264;381.038116;593.222900;241.053909;200.666092;245.745911;5329.996094
01;07;2018;23:10:00.000;8029.478516;8085.002441;8163.288086;14016.418945;1855.555176;1554.565186;1866.010864;586.452454;377.720062;555.164856;243.040527;198.341904;239.236282;5276.131348
01;07;2018;23:20:00.000;8029.712891;8084.319824;8163.207031;14016.102539;1843.649780;1537.890381;1891.950562;576.242798;375.535004;561.743347;241.241028;196.306137;242.493011;5273.491211
01;07;2018;23:30:00.000;8037.140137;8092.102539;8165.148926;14026.017578;1815.463623;1558.845215;1874.916870;560.409973;362.636810;562.527405;237.109543;198.265289;240.474411;5249.226074
01;07;2018;23:40:00.000;8034.853516;8087.655762;8160.926758;14019.686523;1818.799194;1548.874878;1864.288818;555.029785;352.413483;552.986023;237.392151;196.892456;239.027374;5231.962891
01;07;2018;23:50:00.000;8033.458984;8087.570313;8159.785645;14018.169922;1807.040161;1556.405151;1867.638916;548.740723;363.478943;543.101257;235.835114;198.124771;239.169037;5231.083984
02;07;2018;00:00:00.000;8036.569336;8093.431641;8160.506348;14023.749023;1815.637207;1545.024170;1899.305176;544.360291;359.651306;558.507935;236.627335;196.522034;243.390335;5259.966309
02;07;2018;00:10:00.000;8021.083008;8079.926758;8152.828125;14002.556641;1863.180176;1555.437744;1919.263428;569.959473;351.477478;548.027039;243.673035;197.910446;245.635300;5337.880859
